Date,Close,Open,High,Low,Vol.,Change %,LogRet
2019-05-22,1918.51,"1,920.85","1,923.16","1,914.80",-,-0.11%,-0.0010679670830926469
2019-05-23,1899.08,"1,917.70","1,918.07","1,890.64",-,-1.01%,-0.01017928471850471
2019-05-24,1903.72,"1,897.68","1,911.90","1,897.60",-,0.24%,0.002440308353128806
2019-05-27,1904.65,"1,904.47","1,907.09","1,904.06",-,0.05%,0.0004883979332293009
2019-05-28,1893.29,"1,904.76","1,911.25","1,892.95",-,-0.60%,-0.0059822081855767095
2019-05-29,1874.4,"1,892.03","1,892.44","1,866.28",-,-1.00%,-0.010027448267639016
2019-05-30,1880.03,"1,874.97","1,883.25","1,873.96",-,0.30%,0.0029991259498993728
2019-05-31,1859.39,"1,879.46","1,879.49","1,856.94",-,-1.10%,-0.011039257215139209
2019-06-03,1855.91,"1,860.50","1,862.61","1,848.31",-,-0.19%,-0.001873335137254628
2019-06-04,1883.91,"1,856.08","1,884.99","1,853.89",-,1.51%,0.014974262503524294
2019-06-05,1893.86,"1,885.87","1,897.14","1,884.83",-,0.53%,0.005267670084729836
2019-06-06,1907.1,"1,894.05","1,910.91","1,893.38",-,0.70%,0.006966689231127532
2019-06-07,1933.81,"1,908.11","1,941.53","1,907.69",-,1.40%,0.013908386591184652
2019-06-10,1945.71,"1,933.16","1,954.20","1,932.78",-,0.62%,0.006134798800935037
2019-06-11,1951.36,"1,946.05","1,962.77","1,946.00",-,0.29%,0.0028996163572427847
2019-06-12,1945.55,"1,951.57","1,952.06","1,944.51",-,-0.30%,-0.0029818519313709047
2019-06-13,1948.12,"1,944.39","1,953.25","1,943.14",-,0.13%,0.0013200915194229168
2019-06-14,1941.78,"1,948.98","1,949.23","1,938.15",-,-0.33%,-0.0032597267867924273
2019-06-17,1943.48,"1,942.18","1,949.08","1,940.94",-,0.09%,0.0008751023656010659
2019-06-18,1968.12,"1,943.99","1,974.29","1,943.28",-,1.27%,0.012598591836321837
2019-06-19,1973.99,"1,969.64","1,977.47","1,966.97",-,0.30%,0.0029781027614479427
2019-06-20,1991.35,"1,976.03","1,995.69","1,975.77",-,0.88%,0.008755925550062216
2019-06-21,1992.64,"1,991.20","1,997.48","1,988.02",-,0.06%,0.000647592009559439
2019-06-24,1993.08,"1,993.24","1,996.53","1,991.67",-,0.02%,0.00022078821482018895
2019-06-25,1974.47,"1,993.36","1,993.69","1,973.37",-,-0.93%,-0.00938117300755792
2019-06-26,1972.81,"1,973.14","1,982.87","1,971.25",-,-0.08%,-0.0008410855565657016
2019-06-27,1976.26,"1,973.04","1,981.13","1,972.91",-,0.17%,0.0017472472646469228
2019-06-28,1981.71,"1,976.33","1,984.45","1,975.85",-,0.28%,0.0027539387334831744
2019-07-01,1995.81,"1,981.13","2,006.38","1,980.33",-,0.71%,0.007089874626841741
2019-07-02,2003.87,"1,995.57","2,003.94","1,995.56",-,0.40%,0.004030327881352491
2019-07-03,2014.44,"2,002.67","2,014.64","2,002.28",-,0.53%,0.005260930281214549
2019-07-04,2016.54,"2,015.61","2,017.01","2,015.34",-,0.10%,0.0010419303444741956
2019-07-05,2006.39,"2,016.29","2,016.37","1,994.90",-,-0.50%,-0.005046084091652858
2019-07-08,1996.89,"2,005.79","2,006.28","1,991.83",-,-0.47%,-0.00474611710036843
2019-07-09,1998.28,"1,997.61","1,999.71","1,989.89",-,0.07%,0.0006958402551511256
2019-07-10,2009.55,"1,998.91","2,015.08","1,997.04",-,0.56%,0.005624005861177395
2019-07-11,2006.23,"2,012.46","2,014.26","2,002.44",-,-0.17%,-0.0016534774098193594
2019-07-12,2009.84,"2,007.23","2,009.95","2,005.20",-,0.18%,0.0017977779133806493
2019-07-15,2013.17,"2,009.78","2,013.95","2,008.18",-,0.17%,0.0016554772473931223
2019-07-16,2007.53,"2,013.07","2,013.69","2,004.39",-,-0.28%,-0.0028054834726525257
2019-07-17,1997.47,"2,007.42","2,009.52","1,997.46",-,-0.50%,-0.005023730915225677
2019-07-18,2005.34,"1,996.91","2,005.62","1,991.17",-,0.39%,0.003932242669944408
2019-07-19,1995.45,"2,006.42","2,011.95","1,995.22",-,-0.49%,-0.004944033626100186
2019-07-22,2003.64,"1,994.77","2,005.41","1,994.48",-,0.41%,0.0040959375508418105
2019-07-23,2017.2,"2,003.22","2,017.55","2,002.64",-,0.68%,0.006744884853703503
2019-07-24,2016.17,"2,017.36","2,017.65","2,008.79",-,-0.05%,-0.0005107391696714814
2019-07-25,2006.77,"2,016.21","2,021.46","2,003.79",-,-0.47%,-0.004673207707353022
2019-07-26,2021.98,"2,006.21","2,023.44","2,005.73",-,0.76%,0.007550765009118443
2019-07-29,2022.9,"2,020.60","2,024.92","2,018.33",-,0.05%,0.00045489607398252474
2019-07-30,2011.41,"2,022.50","2,024.45","2,008.99",-,-0.57%,-0.005696156749095849
2019-07-31,1991.71,"2,010.61","2,015.41","1,982.39",-,-0.98%,-0.009842402442459708
2019-08-01,1980.0,"1,990.62","2,009.04","1,977.88",-,-0.59%,-0.00589672152850973
2019-08-02,1956.75,"1,976.91","1,977.61","1,946.34",-,-1.17%,-0.011811911003633213
2019-08-05,1904.87,"1,955.52","1,955.75","1,895.35",-,-2.65%,-0.02687116892251762
2019-08-06,1916.96,"1,903.42","1,919.30","1,902.33",-,0.63%,0.0063268331291590485
2019-08-07,1919.38,"1,917.72","1,922.55","1,891.05",-,0.13%,0.0012616193147581
2019-08-08,1951.95,"1,920.05","1,952.33","1,919.37",-,1.70%,0.0168266556845289
2019-08-09,1937.28,"1,953.10","1,953.43","1,930.84",-,-0.75%,-0.007543945497577198
2019-08-12,1922.68,"1,938.05","1,942.22","1,917.92",-,-0.75%,-0.0075648813079096655
2019-08-13,1945.96,"1,920.42","1,955.55","1,917.29",-,1.21%,0.012035382464720357
2019-08-14,1901.42,"1,947.08","1,948.50","1,901.31",-,-2.29%,-0.023154453115231455
2019-08-15,1898.07,"1,900.56","1,904.18","1,888.20",-,-0.18%,-0.0017633950177984303
2019-08-16,1921.89,"1,897.22","1,924.78","1,897.19",-,1.25%,0.012471496425393802
2019-08-19,1943.3,"1,922.37","1,947.74","1,922.29",-,1.11%,0.011078482028183956
2019-08-20,1930.48,"1,944.39","1,946.24","1,930.42",-,-0.66%,-0.006618882230392309
2019-08-21,1944.21,"1,929.59","1,949.38","1,928.93",-,0.71%,0.007087048237230498
2019-08-22,1939.99,"1,943.62","1,950.02","1,930.50",-,-0.22%,-0.00217290647258217
2019-08-23,1900.83,"1,939.28","1,942.29","1,896.04",-,-2.02%,-0.02039218553285238
2019-08-26,1912.29,"1,899.39","1,913.53","1,896.76",-,0.60%,0.00601084387816897
2019-08-27,1912.53,"1,913.59","1,925.19","1,908.30",-,0.01%,0.00012549610194234617
2019-08-28,1919.06,"1,912.52","1,919.81","1,900.89",-,0.34%,0.0034085099512699557
2019-08-29,1938.19,"1,918.94","1,941.01","1,917.26",-,1.00%,0.009919065057425236
2019-08-30,1940.1,"1,939.43","1,951.04","1,933.25",-,0.10%,0.000984970259788831
2019-09-02,1941.02,"1,940.13","1,943.06","1,939.65",-,0.05%,0.0004740899622950323
2019-09-03,1932.57,"1,939.79","1,939.91","1,924.26",-,-0.44%,-0.004362884767691533
2019-09-04,1956.11,"1,933.07","1,956.57","1,932.99",-,1.22%,0.012107083917062944
2019-09-05,1977.45,"1,958.30","1,983.04","1,957.66",-,1.09%,0.01085032863976565
2019-09-06,1979.08,"1,978.35","1,981.93","1,975.86",-,0.08%,0.0008239543702268648
2019-09-09,1979.6,"1,979.78","1,984.62","1,976.77",-,0.03%,0.00026271383541498494
2019-09-10,1983.05,"1,980.32","1,983.18","1,970.76",-,0.17%,0.0017412594459242925
2019-09-11,1997.62,"1,985.12","1,997.74","1,984.23",-,0.73%,0.007320408406205736
2019-09-12,2007.19,"1,998.11","2,013.88","1,996.65",-,0.48%,0.004779262045373933
2019-09-13,2007.07,"2,007.65","2,011.60","2,004.34",-,-0.01%,-5.97868598628537e-05
2019-09-16,1993.59,"2,006.99","2,007.26","1,991.36",-,-0.67%,-0.006738913586182171
2019-09-17,1999.67,"1,993.74","1,999.84","1,991.69",-,0.30%,0.003045133398895672
2019-09-18,2002.2,"1,998.70","2,003.42","1,988.03",-,0.13%,0.001264409057298188
2019-09-19,2010.62,"2,003.26","2,017.06","2,002.43",-,0.42%,0.004196556215881664
2019-09-20,2003.85,"2,012.43","2,017.75","2,001.98",-,-0.34%,-0.003372802097334038
2019-09-23,2001.54,"2,003.83","2,005.46","1,994.90",-,-0.12%,-0.0011534458597584063
2019-09-24,1989.6,"2,001.24","2,009.65","1,986.59",-,-0.60%,-0.005983270754978065
2019-09-25,1994.26,"1,987.63","1,996.85","1,976.25",-,0.23%,0.0023394407059198485
